正稿序号,照片,页内行,落地分类,落地商品,落地品牌,落地SKU,数量,单位,动作
116,IMG_3093,7,配件,浮动接头,(无品牌),M18X1.5,20,个,新建商品+SKU
117,IMG_3093,8,不锈钢接头,不锈钢接头,(无品牌),6分套管,11,个,已有商品补SKU
118,IMG_3093,9,不锈钢接头,不锈钢接头,(无品牌),4分,1,个,已有商品补SKU
119,IMG_3093,10,气动电磁阀,4A 气控阀,(无品牌),4A420-15,1,个,新建商品+SKU
120,IMG_3093,11,排气阀,RE 消声器,盛达(SDPC),RE-02,39,个,新建商品+SKU
121,IMG_3093,12,排气阀,SE 消声器,盛达(SDPC),SE-06 2分,17,个,新建商品+SKU
122,IMG_3093,13,排气阀,SE 消声器,盛达(SDPC),SE-04 4分,3,个,新建商品+SKU
123,IMG_3093,14,排气阀,RE 消声器,盛达(SDPC),RE-06,27,个,新建商品+SKU
125,IMG_3093,16,排气阀,RE 消声器,盛达(SDPC),RE-03,27,个,新建商品+SKU
126,IMG_3093,17,排气阀,RE 消声器,盛达(SDPC),RE-01,105,个,新建商品+SKU
127,IMG_3093,18,手动阀,气动手动阀,(无品牌),S3R-M5,15,个,新建商品+SKU
128,IMG_3093,19,排气阀,快速排气阀,(无品牌),ST-01,18,个,新建商品+SKU
129,IMG_3093,20,排气阀,快速排气阀,(无品牌),ST-08,2,个,新建商品+SKU
130,IMG_3093,21,手动阀,气动手动阀,亚德客(AirTac),S3H-M5,1,个,新建商品+SKU
131,IMG_3094,1,排气阀,快速排气阀,(无品牌),QE-04,63,个,新建商品+SKU
132,IMG_3094,2,排气阀,快速排气阀,(无品牌),QE-02,17,个,新建商品+SKU
133,IMG_3094,3,液压手动阀,液压单向阀,(无品牌),GTC-02,32,个,新建商品+SKU
134,IMG_3094,4,液压手动阀,液压单向阀,(无品牌),GTC-03,50,个,新建商品+SKU
135,IMG_3094,5,手动阀,HSV 手动阀,(无品牌),HSV-08,1,个,新建商品+SKU
136,IMG_3094,6,手动阀,HSV 手动阀,(无品牌),HSV-10 3分,37,个,新建商品+SKU
137,IMG_3094,7,配件,流量计,(无品牌),LZT-1005G,10,个,新建商品+SKU
138,IMG_3094,8,油压表,油压表,(无品牌),50kg,6,个,已有商品补SKU
139,IMG_3094,9,油压表,油压表,(无品牌),40kg,1,个,已有商品补SKU
148,IMG_3095,1,宝塔接头,宝塔直通,(无品牌),8 双头,500,个,已有商品补SKU
149,IMG_3095,2,宝塔接头,宝塔直通,(无品牌),8-6,600,个,已有商品补SKU
150,IMG_3095,3,宝塔接头,宝塔直通,(无品牌),8-10,294,个,已有商品补SKU
151,IMG_3095,4,宝塔接头,宝塔直通,(无品牌),10,71,个,已有商品补SKU
152,IMG_3095,5,宝塔接头,宝塔三通,(无品牌),10,298,个,新建商品+SKU
153,IMG_3095,6,宝塔接头,宝塔三通,(无品牌),8,611,个,新建商品+SKU
154,IMG_3095,7,宝塔接头,宝塔三通,(无品牌),6,89,个,新建商品+SKU
155,IMG_3096,1,配件,铜球,(无品牌),8,1603,个,新建商品+SKU
156,IMG_3096,2,宝塔接头,宝塔直通,(无品牌),2,15,个,已有商品补SKU
157,IMG_3096,3,宝塔接头,宝塔直通,(无品牌),16,1,个,已有商品补SKU
158,IMG_3096,4,宝塔接头,宝塔直通,(无品牌),6,76,个,已有商品补SKU
159,IMG_3096,5,气缸,CDJ2B 针型气缸,(无品牌),CDJ2B10-40,50,个,新建商品+SKU
160,IMG_3096,6,,,,2分牙50面板 10kg/1MPa,731,个,跳过：SKU 疑似从 #34 复制串行，用户决定本轮跳过
161,IMG_3096,7,配件,鱼眼接头,(无品牌),M20X1.5,29,个,已有商品补SKU
162,IMG_3096,8,配件,鱼眼接头,(无品牌),M16X1.5,15,个,已有商品补SKU
163,IMG_3096,9,配件,鱼眼接头,(无品牌),M18X1.5,1,个,已有商品补SKU
164,IMG_3096,10,配件,鱼眼接头,(无品牌),M12X1.25,37,个,已有商品补SKU
165,IMG_3096,11,配件,鱼眼接头,(无品牌),M10X1.25,44,个,已有商品补SKU
