电商商品ID,商品名称,电商类目,WMS商品行,品牌数,品牌列表,SKU数,缺成本价,缺售价,已称重,有包装尺寸,图片数,SKU上限,待办
75,C式接头,气动元件 > 气动接头,4,4,JCP/TRM/新禾/明铁,11,11,11,0,0,0,,待称重 | 待量包装 | 补成本价x11 | 补售价x11 | 待拍图 | 待写标题
96,不锈钢喉箍,流体管路 > 喉箍,1,0,,11,0,11,0,0,0,,待称重 | 待量包装 | 补售价x11 | 待拍图 | 待写标题
111,扩口快拧弯头（黄铜）,气动元件 > 气动接头,1,0,,11,11,11,0,0,0,,待称重 | 待量包装 | 补成本价x11 | 补售价x11 | 待拍图 | 待写标题
4,PA管（尼龙管）,气动元件 > 气管,1,1,铁壳虫,10,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
110,扩口快拧直通（黄铜）,气动元件 > 气动接头,1,0,,10,10,10,0,0,0,,待称重 | 待量包装 | 补成本价x10 | 补售价x10 | 待拍图 | 待写标题
28,DPKB螺纹五通变径,气动元件 > 气动接头,1,1,东特,9,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
77,SPC螺纹直通,气动元件 > 气动接头,1,1,山克斯（SUNCOS）,9,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
109,卡套快拧直通（黄铜）,气动元件 > 气动接头,1,0,,8,8,8,0,0,0,,待称重 | 待量包装 | 补成本价x8 | 补售价x8 | 待拍图 | 待写标题
8,PU管（米）,气动元件 > 气管,1,1,威特,7,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
16,DPU直通,气动元件 > 气动接头,1,1,东特,7,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
18,PGJ 插杆变径直通,气动元件 > 气动接头,1,0,,7,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
19,DPE T型三通,气动元件 > 气动接头,1,1,东特,7,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
21,PY Y型三通,气动元件 > 气动接头,1,1,东特,7,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
26,DPKG五通变径,气动元件 > 气动接头,1,1,东特,7,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
29,DHVFF手阀,气动元件 > 气动接头,1,1,东特,7,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
80,SPD螺纹T 型,气动元件 > 气动接头,1,1,三正气动,7,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
100,气动快拧三通,气动元件 > 气动接头,1,0,,7,6,6,0,0,0,,待称重 | 待量包装 | 补成本价x6 | 补售价x6 | 待拍图 | 待写标题
101,快拧接头对接,气动元件 > 气动接头,1,0,,7,7,7,0,0,0,,待称重 | 待量包装 | 补成本价x7 | 补售价x7 | 待拍图 | 待写标题
63,冷却管,流体管路 > 冷却管,1,0,,6,6,4,0,0,0,,待称重 | 待量包装 | 补成本价x6 | 补售价x4 | 待拍图 | 待写标题
79,SPD螺纹T型,气动元件 > 气动接头,1,1,山克斯（SUNCOS）,6,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
84,PB螺纹T型上面螺纹,气动元件 > 气动接头,2,2,三正气动/东特,6,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
90,PM隔板直通,气动元件 > 气动接头,2,2,东特/山克斯（SUNCOS）,6,0,6,0,0,0,,待称重 | 待量包装 | 补售价x6 | 待拍图 | 待写标题
103,亚太管快拧直通,气动元件 > 气动接头,1,0,,6,6,6,0,0,0,,待称重 | 待量包装 | 补成本价x6 | 补售价x6 | 待拍图 | 待写标题
106,卡套快拧直通（不锈钢色）,气动元件 > 气动接头,1,0,,6,6,6,0,0,0,,待称重 | 待量包装 | 补成本价x6 | 补售价x6 | 待拍图 | 待写标题
107,卡套快拧弯头（不锈钢色）,气动元件 > 气动接头,1,0,,6,6,6,0,0,0,,待称重 | 待量包装 | 补成本价x6 | 补售价x6 | 待拍图 | 待写标题
122,内牙宝塔接头,气动元件 > 气动接头,1,0,,6,6,6,0,0,0,,待称重 | 待量包装 | 补成本价x6 | 补售价x6 | 待拍图 | 待写标题
24,DPZA十字四通,气动元件 > 气动接头,1,1,东特,5,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
25,PK五通,气动元件 > 气动接头,1,1,山克斯（SUNCOS）,5,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
57,吹尘枪,气动元件 > 气动工具,3,3,AT10/DADA/海达（HNDA）,5,5,4,0,0,0,,待称重 | 待量包装 | 补成本价x5 | 补售价x4 | 待拍图 | 待写标题
58,伸缩管,气动元件 > 气管,2,2,环球牌/艾斯拓,5,5,4,0,0,0,,待称重 | 待量包装 | 补成本价x5 | 补售价x4 | 待拍图 | 待写标题
66,镀锌街头,流体管路 > 管件接头,1,0,,5,0,5,0,0,0,,待称重 | 待量包装 | 补售价x5 | 待拍图 | 待写标题
81,PZA十字四通,气动元件 > 气动接头,1,1,山克斯（SUNCOS）,5,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
83,PB螺纹T型上面螺丝,气动元件 > 气动接头,1,1,山克斯（SUNCOS）,5,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
88,PG变经直通,气动元件 > 气动接头,3,3,亚一气动（YYC）/山克斯（SUNCOS）/气动之星（CYKL）,5,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
92,DSA管道阀,气动元件 > 气动接头,2,2,东特/山克斯（SUNCOS）,5,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
135,MCY14-1B,液压元件 > 液压泵,1,0,,5,5,5,0,0,0,,待称重 | 待量包装 | 补成本价x5 | 补售价x5 | 待拍图 | 待写标题
139,溢流阀,液压元件 > 液压阀,1,0,,5,5,5,0,0,0,,待称重 | 待量包装 | 补成本价x5 | 补售价x5 | 待拍图 | 待写标题
67,不锈钢接头,流体管路 > 管件接头,1,0,,4,0,4,0,0,0,,待称重 | 待量包装 | 补售价x4 | 待拍图 | 待写标题
82,PX Y型三通带螺纹,气动元件 > 气动接头,1,1,三正气动,4,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
87,PU直通,气动元件 > 气动接头,3,3,亚一气动（YYC）/山克斯（SUNCOS）/气动之星（CYKL）,4,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
89,PY-Y型三通,气动元件 > 气动接头,2,2,亚一气动（YYC）/山克斯（SUNCOS）,4,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
112,卡套快拧弯头（黄铜）,气动元件 > 气动接头,1,0,,4,4,4,0,0,0,,待称重 | 待量包装 | 补成本价x4 | 补售价x4 | 待拍图 | 待写标题
113,内牙弯头（黄铜）,气动元件 > 气动接头,1,0,,4,4,4,0,0,0,,待称重 | 待量包装 | 补成本价x4 | 补售价x4 | 待拍图 | 待写标题
118,快拧三通（黄铜）,气动元件 > 气动接头,1,0,,4,4,4,0,0,0,,待称重 | 待量包装 | 补成本价x4 | 补售价x4 | 待拍图 | 待写标题
141,手动换向阀,气动元件 > 气动控制阀,1,0,,4,4,4,0,0,0,,待称重 | 待量包装 | 补成本价x4 | 补售价x4 | 待拍图 | 待写标题
146,冷却器,流体管路 > 冷却管,1,0,,4,4,4,0,0,0,,待称重 | 待量包装 | 补成本价x4 | 补售价x4 | 待拍图 | 待写标题
32,ZPC螺纹接头,气动元件 > 气动接头,1,1,亿日,3,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
35,PVC增强软管,气动元件 > 气管,1,0,,3,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
39,尼龙管（亚太 比较软）,气动元件 > 气管,1,1,亚太,3,0,2,0,0,0,,待称重 | 待量包装 | 补售价x2 | 待拍图 | 待写标题
44,脚踏阀,气动元件 > 气动控制阀,3,3,亚德客(AirTac)/山耐斯/盛达(SDPC),3,2,2,0,0,0,,待称重 | 待量包装 | 补成本价x2 | 补售价x2 | 待拍图 | 待写标题
108,卡套快拧三通（不锈钢色）,气动元件 > 气动接头,1,0,,3,3,3,0,0,0,,待称重 | 待量包装 | 补成本价x3 | 补售价x3 | 待拍图 | 待写标题
114,卡套快拧三通（黄铜）,气动元件 > 气动接头,1,0,,3,3,3,0,0,0,,待称重 | 待量包装 | 补成本价x3 | 补售价x3 | 待拍图 | 待写标题
115,扩口快拧三通（黄铜）,气动元件 > 气动接头,1,0,,3,3,3,0,0,0,,待称重 | 待量包装 | 补成本价x3 | 补售价x3 | 待拍图 | 待写标题
121,宝塔弯头,气动元件 > 气动接头,1,0,,3,3,3,0,0,0,,待称重 | 待量包装 | 补成本价x3 | 补售价x3 | 待拍图 | 待写标题
131,液压电磁阀（JIE&MING）,液压元件 > 液压阀,1,0,,3,3,3,0,0,0,,待称重 | 待量包装 | 补成本价x3 | 补售价x3 | 待拍图 | 待写标题
143,电磁换向阀,气动元件 > 气动电磁阀,1,0,,3,3,3,0,0,0,,待称重 | 待量包装 | 补成本价x3 | 补售价x3 | 待拍图 | 待写标题
43,气动手动阀（亚得）,气动元件 > 气动控制阀,1,1,亚德,2,2,2,0,0,0,,待称重 | 待量包装 | 补成本价x2 | 补售价x2 | 待拍图 | 待写标题
53,气动电磁阀(其他),气动元件 > 气动电磁阀,1,0,,2,2,1,0,0,0,,待称重 | 待量包装 | 补成本价x2 | 补售价x1 | 待拍图 | 待写标题
56,液压电磁阀(其他),液压元件 > 液压阀,1,0,,2,1,2,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 补售价x2 | 待拍图 | 待写标题
68,油压表,液压元件 > 压力表,1,0,,2,2,2,0,0,0,,待称重 | 待量包装 | 补成本价x2 | 补售价x2 | 待拍图 | 待写标题
74,电磁水阀（UNI D）,流体管路 > 电磁水阀,1,1,UNI-D,2,1,1,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 补售价x1 | 待拍图 | 待写标题
76,C式自锁接头,气动元件 > 气动接头,2,1,明铁,2,2,2,0,0,0,,待称重 | 待量包装 | 补成本价x2 | 补售价x2 | 待拍图 | 待写标题
85,PE T型三通,气动元件 > 气动接头,1,1,山克斯（SUNCOS）,2,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
86,PE Y型三通,气动元件 > 气动接头,1,1,亚一气动（YYC）,2,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
91,ZPL L型螺纹二通,气动元件 > 气动接头,1,1,亿日,2,1,1,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 补售价x1 | 待拍图 | 待写标题
95,汇流板,气动元件 > 气动电磁阀,1,0,,2,1,2,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 补售价x2 | 待拍图 | 待写标题
102,快拧接头内牙,气动元件 > 气动接头,1,0,,2,2,2,0,0,0,,待称重 | 待量包装 | 补成本价x2 | 补售价x2 | 待拍图 | 待写标题
116,内牙三通（黄铜）,气动元件 > 气动接头,1,0,,2,2,2,0,0,0,,待称重 | 待量包装 | 补成本价x2 | 补售价x2 | 待拍图 | 待写标题
117,外牙三通（黄铜）,气动元件 > 气动接头,1,0,,2,2,2,0,0,0,,待称重 | 待量包装 | 补成本价x2 | 补售价x2 | 待拍图 | 待写标题
137,YCY,液压元件 > 液压泵,1,0,,2,2,2,0,0,0,,待称重 | 待量包装 | 补成本价x2 | 补售价x2 | 待拍图 | 待写标题
140,液控单向阀,液压元件 > 液压阀,1,0,,2,2,2,0,0,0,,待称重 | 待量包装 | 补成本价x2 | 补售价x2 | 待拍图 | 待写标题
147,MGPM三轴气缸,气动元件 > 气缸,1,0,,2,2,2,0,0,0,,待称重 | 待量包装 | 补成本价x2 | 补售价x2 | 待拍图 | 待写标题
2,磁性开关,气动元件 > 气缸配件,1,0,,1,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
6,SU系列标准气缸（内藏式）,气动元件 > 气缸,1,1,东特,1,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
31,EPE三通T型,气动元件 > 气动接头,1,1,亿日,1,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
36,黄皮管,气动元件 > 气管,1,0,,1,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
37,水平管,气动元件 > 气管,1,0,,1,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
38,铝塑管,气动元件 > 气管,1,0,,1,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
40,高压夹线管,气动元件 > 气管,1,0,,1,1,1,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 补售价x1 | 待拍图 | 待写标题
48,黄油嘴,流体管路 > 黄油嘴,1,0,,1,0,1,0,0,0,,待称重 | 待量包装 | 补售价x1 | 待拍图 | 待写标题
49,堵头,流体管路 > 管件接头,1,0,,1,0,1,0,0,0,,待称重 | 待量包装 | 补售价x1 | 待拍图 | 待写标题
50,不锈钢球阀,气动元件 > 气源处理器,1,0,,1,0,1,0,0,0,,待称重 | 待量包装 | 补售价x1 | 待拍图 | 待写标题
54,气动手动阀(one way),气动元件 > 气动电磁阀,1,0,,1,1,0,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 待拍图 | 待写标题
59,脚踏阀（HuaJin）,气动元件 > 气动控制阀,1,0,,1,1,1,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 补售价x1 | 待拍图 | 待写标题
60,油雾器专用油,气动元件 > 气源处理器,1,1,海达（HNDA）,1,1,1,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 补售价x1 | 待拍图 | 待写标题
64,三寸过滤网,液压元件 > 液压配件,1,0,,1,0,1,0,0,0,,待称重 | 待量包装 | 补售价x1 | 待拍图 | 待写标题
65,润滑器,气动元件 > 气源处理器,1,0,,1,1,1,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 补售价x1 | 待拍图 | 待写标题
69,薄型气缸（长得不一样）,气动元件 > 气缸,1,0,,1,1,1,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 补售价x1 | 待拍图 | 待写标题
70,ACQ薄型气缸,气动元件 > 气缸,1,1,威特,1,1,1,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 补售价x1 | 待拍图 | 待写标题
71,制冷电磁阀,流体管路 > 电磁水阀,1,1,百达,1,1,1,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 补售价x1 | 待拍图 | 待写标题
72,调压过滤器（其他）,气动元件 > 气源处理器,1,0,,1,1,1,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 补售价x1 | 待拍图 | 待写标题
93,鱼眼接头,气动元件 > 气缸配件,1,0,,1,1,1,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 补售价x1 | 待拍图 | 待写标题
94,SC气缸底座,气动元件 > 气缸配件,1,0,,1,1,1,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 补售价x1 | 待拍图 | 待写标题
97,欧式强力喉箍,流体管路 > 喉箍,1,0,,1,0,1,0,0,0,,待称重 | 待量包装 | 补售价x1 | 待拍图 | 待写标题
98,镀锌强力喉箍,流体管路 > 喉箍,1,0,,1,0,1,0,0,0,,待称重 | 待量包装 | 补售价x1 | 待拍图 | 待写标题
104,亚太管快拧弯头,气动元件 > 气动接头,1,0,,1,1,1,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 补售价x1 | 待拍图 | 待写标题
105,亚太管快拧三通,气动元件 > 气动接头,1,0,,1,1,1,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 补售价x1 | 待拍图 | 待写标题
119,快拧弯头（黄铜）,气动元件 > 气动接头,1,0,,1,1,1,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 补售价x1 | 待拍图 | 待写标题
123,定制,气动元件 > 气动接头,1,0,,1,1,1,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 补售价x1 | 待拍图 | 待写标题
124,快速排气阀,气动元件 > 气源处理器,1,1,亚德客(AirTac),1,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
125,加厚双内牙铜球阀,流体管路 > 球阀,1,0,,1,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
126,加厚内外牙铜球阀,流体管路 > 球阀,1,0,,1,1,0,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 待拍图 | 待写标题
127,精品内外牙铜球阀,流体管路 > 球阀,1,0,,1,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
128,加厚宝塔铜球阀,流体管路 > 球阀,1,0,,1,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
129,精品宝塔铜球阀,流体管路 > 球阀,1,0,,1,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
130,液压电磁阀（交大南洋）,液压元件 > 液压阀,1,0,,1,1,1,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 补售价x1 | 待拍图 | 待写标题
132,液压电磁阀(上海液压气动总公司）,液压元件 > 液压阀,1,0,,1,1,1,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 补售价x1 | 待拍图 | 待写标题
133,铜螺帽,流体管路 > 管件接头,1,0,,1,0,0,0,0,0,,待称重 | 待量包装 | 待拍图 | 待写标题
134,SCY14-1B,液压元件 > 液压泵,1,0,,1,1,1,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 补售价x1 | 待拍图 | 待写标题
136,MYCY,液压元件 > 液压泵,1,0,,1,1,1,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 补售价x1 | 待拍图 | 待写标题
142,电磁调速阀,液压元件 > 液压阀,1,0,,1,1,1,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 补售价x1 | 待拍图 | 待写标题
145,电机配油泵,液压元件 > 液压泵,1,0,,1,1,1,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 补售价x1 | 待拍图 | 待写标题
148,MALJ铝合金迷你气缸（亚德客型）,气动元件 > 气缸,1,0,,1,1,1,0,0,0,,待称重 | 待量包装 | 补成本价x1 | 补售价x1 | 待拍图 | 待写标题
